Tick,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup
1,1.7942,0.523536
2,1.2963,0.412227
3,1.0536,0.350794
4,0.8966,0.310761
5,0.7891,0.281676
6,0.722,0.259662
7,0.6569,0.242364
8,0.5994,0.228395
9,0.5524,0.216288
