Tick,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup
1,2.0002,0.56248
2,1.4503,0.419217
3,1.1986,0.346181
4,1.0627,0.302783
5,0.9685,0.271279
6,0.8946,0.248228
7,0.8254,0.23073
8,0.7632,0.216038
9,0.7132,0.204134
