Tick,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup
1,2.8344,0.670207
2,2.2252,0.45291
3,1.9149,0.362164
4,1.6705,0.307923
5,1.4767,0.272716
6,1.3212,0.247211
7,1.2045,0.228849
8,1.1082,0.212916
9,1.0311,0.20066
