Tick,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup
1,0.5562,0.016174
2,0.4115,0.020138
3,0.3258,0.021783
4,0.2695,0.023132
5,0.2306,0.02375
6,0.201,0.024271
7,0.178,0.024478
8,0.1596,0.024626
9,0.1447,0.024579
