Tick,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup
1,0.3109,0.373292
2,0.2979,0.348252
3,0.2996,0.355497
4,0.3006,0.366809
5,0.302,0.384259
6,0.3,0.398614
7,0.2999,0.4139
8,0.2991,0.430425
9,0.2994,0.445548
