Tick,KBucket Size,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup,KBucket Size Δ
1,290020,3.9971,4.02255,178.34666666666666
2,590020,3.9949,4.038238,197.0
3,890020,3.993,4.053142,197.0
4,1190020,3.9915,4.066287,184.0
5,1490020,3.9904,4.082574,183.0
6,1790020,3.989,4.102995,194.0
7,2090020,3.988,4.119902,197.0
8,2390020,3.9875,4.139306,189.0
9,2690020,3.9868,4.15858,182.0
