Tick,KBucket Size,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup,KBucket Size Δ
1,30614,3.0506,0.302885,163.09333333333333
2,60879,3.0503,0.219576,160.76666666666668
3,91559,3.0497,0.186039,163.53333333333333
4,122280,3.056,0.167421,163.80666666666667
5,152970,3.0615,0.155238,163.6
6,183496,3.0648,0.1475,162.50666666666666
7,214108,3.0651,0.14164,163.08
8,244417,3.0644,0.137445,161.06
9,275033,3.0642,0.134271,163.10666666666665
