Tick,KBucket Size,InterToIntraCluster Ratio - Store,InterToIntraCluster Ratio - Lookup,KBucket Size Δ
1,1464366,3.0171,0.728584,155.62439999999998
2,3034309,2.3976,0.495069,159.66286666666667
3,4593569,2.0035,0.392583,161.95066666666668
4,6157279,1.7512,0.333734,163.24733333333333
5,7718004,1.5722,0.294009,155.04833333333335
6,9274407,1.4241,0.265732,161.7602
7,10842812,1.3101,0.243644,160.56033333333335
8,12399033,1.2246,0.226621,156.74806666666666
9,13961359,1.1545,0.213007,154.15506666666667
